NameofOrganisation,Latitude,Longitude
Aboriginal Interpreter Service,-14.4646,132.2651
Aboriginal Liaison Officer,-14.44,132.271
Active Physiotherapy Katherine,-14.468134,132.269983
Alawa Aboriginal Corporation,-14.450639,132.247925
Alekarenge School,-21.003713,134.405708
Alpurrurulam School,-20.967831,137.922501
Amanbidji School (Kildirk),-16.427498,129.618014
Amity Community Services Inc,-12.436053,130.842434
Anglicare NT,-14.461663,132.266194
Anyinginyi Health Aboriginal Corporation - Health Centre,-19.643581,134.188735
Anyinginyi Health Aboriginal Corporation - Public Health Unit,-19.644468,134.188329
Anyinginyi Health Aboriginal Corporation - Regional Remote Health Section,-19.6528283,134.1886741
Arnhemland Progress Aboriginal Corporation (ALPA),-12.4704964,130.9172472
Australian Breastfeeding Association,-14.4649,132.26425
Australian Red Cross,-14.4729826,132.2550555
BabyFAST,-12.387392,130.899675
Barkly Shire Council,-19.645547,134.196155
Barunga Community Store,-14.5236,132.8667
Barunga School  (Bamyili),-14.524376,132.86612
Blue Sky Therapies,-14.453716,132.271355
Bodhi Bus,-14.478022,132.288665
Borroloola School,-16.053178,136.306161
Bulla Camp School,-15.764233,130.039222
Bulman School,-13.664544,134.33037
Callistemon House,-14.461639,132.287495
Canteen Creek School,-20.644371,135.585135
Carers NT,-14.46371,132.26416
Casuarina Street Primary School,-14.4704066,132.2930697
CatholicCare Katherine,-14.465589,132.263761
CatholicCare Tennant Creek,-19.648873,134.190441
Central Desert Shire,-23.707031,133.879272
Centrelink (Department of Human Services) Barunga,-14.51978,132.865176
Centrelink (Department of Human Services) Beswick,-14.5552541,133.114678
Centrelink (Department of Human Services) Binjari,-14.4836486,132.2575144
Centrelink (Department of Human Services) Katherine,-14.464673,132.266355
Centrelink (Department of Human Services) Kybrook Farm,-13.819667,131.835106
Centrelink (Department of Human Services) Manyallaluk,-14.3202429,132.421697
Centrelink (Department of Human Services) Tennant Creek,-19.645274,134.190799
Charles Darwin University,-19.652528,134.195585
Chiropractic Health Centre of Katherine,-14.462832,132.263007
Clyde Fenton Primary School,-14.450818,132.270503
Core of Life,-14.4649,132.26425
Corroboree Aboriginal Hostels,-14.4651444,132.2593269
CRS Australia,-14.46371,132.26416
Dagaragu Cräche,-17.4468,130.8321
Darwin Community Legal Service,-12.459381,130.843681
Darwin Podiatry,-12.461011,130.842734
Department of Children and Families,-14.4649,132.26425
Department of Children and Families - Child Protection,-18.33403,130.6337388
Department of Children and Families - Night Patrol,-14.7317,134.7321
Department of Construction and Infrastructure - Kalkarindji,-17.4468,130.8321
Department of Construction and Infrastructure - Ngukurr,-14.7317,134.7321
Department of Education and Training,-12.463582,130.840111
